categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Extra Grande,Ford,Territory,SEL Plus,1.5 - 16V,Combustão,CVT,S,E,141,\,\,"9,4",2
Extra Grande,Ford,Territory,Titanium,1.5 - 16V,Combustão,CVT,S,E,141,\,\,"9,4",2
Extra Grande,Great Wall,HAVAL H6 HEV,TOP,1.5-16V,Híbrido,A-2,S,E,113,\,\,"12,3",2
Extra Grande,Great Wall,HAVAL H6 HEV,TOP8,1.5-16V,Híbrido,A-2,S,E,113,\,\,"12,3",2
Extra Grande,Great Wall,HAVAL H6 HEV,TOP9,1.5-16V,Híbrido,A-2,S,E,113,\,\,"12,3",2
Extra Grande,Great Wall,HAVAL H6 HEV,TOP10,1.5-16V,Híbrido,A-2,S,E,113,\,\,"12,3",2
Extra Grande,Great Wall,HAVAL H6 HEV,TOP11,1.5-16V,Híbrido,A-2,S,E,113,\,\,"12,3",2
Extra Grande,Great Wall,HAVAL H6 HEV,TOP12,1.5-16V,Híbrido,A-2,S,E,113,\,\,"12,3",2
Extra Grande,Great Wall,HAVAL H6 HEV,TOP1,1.5-16V,Híbrido,A-2,S,E,113,\,\,"12,3",2
Extra Grande,Great Wall,HAVAL H6 HEV,TOP2,1.5-16V,Híbrido,A-2,S,E,113,\,\,"12,3",2
Extra Grande,Great Wall,HAVAL H6 HEV,TOP13,1.5-16V,Híbrido,A-2,S,E,113,\,\,"12,3",2
Extra Grande,Great Wall,HAVAL H6 PHEV,TOP3,1.5-16V,Plug-in,A-2,S,E,62,\,\,"25,0",2
