Categoria,Marca,Modelo,Versão,Motor,"Transmissão
Compacto,Renault,Sandero,GT Line,1.6-16V,M5,S,E-H,F,"0,027","0,440","0,025",B,0,104,"8,4","8,9","12,5","13,0","1,71",C,B,-,5,2017
Compacto,FORD,"New Fiesta
Hatch",SE GTDI / SEL GTDI / Titanium GTDI,1.0-12V,DCT-6,S,E,G,"0,013","0,104","0,038",B,\,99,\,\,"12,2","15,3","1,61",B,B,-,5,2017
Compacto,FORD,"New Fiesta
Hatch",SE / SEL / Titanium,1.6-16V,M-5,S,E,F,"0,017","0,663","0,011",B,0,101,"8,2","10,0","12,0","14,6","1,66",B,B,-,5,2017
Compacto,FORD,"New Fiesta
Hatch",SE / SEL / Titanium,1.6-16V,DCT-6,S,E,F,"0,014","0,428","0,007",A,0,106,"7,8","10,3","11,2","14,9","1,72",C,B,-,5,2017
Compacto,FORD,KA (5 Portas),SE,1.0-12V,M-5,S,E,F,"0,019","0,462","0,013",B,0,91,"9,2","10,8","13,5","15,7","1,49",A,B,SIM,5,2017
Compacto,FORD,KA (5 Portas),SEL,1.0-12V,M-5,S,E,F,"0,023","0,443","0,016",B,0,93,"9,3","10,7","13,2","15,3","1,51",A,B,SIM,5,2017
Compacto,FORD,KA (5 Portas),SE / SEL,1.5-16V,M-5,S,E,F,"0,015","0,545","0,018",B,0,106,"8,1","9,6","11,7","13,8","1,72",C,B,-,5,2017
Compacto,FIAT,Novo Palio,Attractive,1.4-8V,M-5,S,H,F,"0,012","0,454","0,028",B,0,110,"7,9","9,3","11,2","13,4","1,79",D,B,-,5,2017
Compacto,FIAT,Novo Palio,Essence,1.6-16V,M-5,S,H,F,"0,017","0,438","0,010",B,0,124,"6,9","8,2","10,1","11,9","2,03",E,C,-,5,2017
Compacto,FIAT,Novo Palio,Sporting,1.6-16V,M-5,S,H,F,"0,019","0,617","0,028",B,0,127,"6,7","7,9","9,6","11,5","2,10",E,C,-,5,2017
Compacto,FIAT,Novo Palio,Sporting Dualogic,1.6-16V,MTA-5,S,H,F,"0,020","0,635","0,030",B,0,128,"6,7","7,8","9,9","11,6","2,09",E,C,-,5,2017
Compacto,FIAT,Punto,Attractive,1.4-8V,M-5,S,H,F,"0,014","0,535","0,014",B,0,121,"7,2","8,5","10,3","12,4","1,96",E,C,-,5,2017
Compacto,FIAT,Punto,Essence,1.6-16V,M-5,S,H,F,"0,011","0,487","0,020",B,0,128,"6,6","8,1","9,7","11,7","2,09",E,C,-,5,2017
Compacto,FIAT,Punto,Blackmotion,1.8-16V,M-5,S,H,F,"0,011","0,490","0,022",B,0,139,"6,4","7,4","9,1","10,6","2,25",E,C,-,5,2017
Compacto,FIAT,Punto,Blackmotion Dualogic,1.8-16V,MTA-5,S,H,F,"0,008","0,311","0,023",B,0,141,"6,2","7,3","8,9","10,6","2,29",E,C,-,5,2017
Compacto,FIAT,Novo Palio,Attractive,1.0-8V,M-5,S,H,F,"0,018","0,532","0,017",B,0,111,"7,9","9,3","11,2","13,2","1,79",D,B,-,5,2017
Compacto,FORD,KA hatch (2019),S / SE / SE Plus,1.0-12V,M-5,S,E,F,"0,024","0,614","0,025",B,0,92,"9,2","10,7","13,4","15,5","1,51",A,B,SIM,5,2017
Compacto,FORD,KA hatch (2019),SE / SE Plus,1.5-12V,M-5,S,E,F,"0,021","0,385","0,016",B,0,98,"8,4","10,3","12,5","15,0","1,61",B,B,-,5,2017
Compacto,FORD,KA hatch (2019),SE / SE Plus,1.5-12V,A-6,S,E,F,"0,028","0,446","0,029",B,0,109,"7,8","10,1","11,0","14,2","1,76",C,B,-,5,2017
Compacto,FORD,KA hatch (2019),Titanium,1.5-12V,A-6,S,E,F,"0,024","0,511","0,025",B,0,110,"7,6","10,1","10,9","14,0","1,78",D,B,-,5,2017
Compacto,Hyundai,HB20,Comfort / Plus / Style,1.0-12V,M-5,S,H,F,"0,014","0,309","0,011",A,0,101,"8,5","9,9","12,5","14,1","1,64",B,B,-,5,2017
Compacto,Hyundai,HB20,Plus / Style,1.6-16V,M-6,S,H,F,"0,017","0,500","0,019",B,0,107,"8,1","9,9","11,6","13,8","1,72",C,B,-,5,2017
Compacto,Hyundai,HB20,Plus / Style,1.6-16V,A-6,S,H,F,"0,020","0,286","0,020",B,0,121,"7,1","9,4","9,9","12,5","1,95",E,C,-,5,2017
Compacto,Hyundai,HB20,Plus / Style,"1.0-12V
Turbo",M-6,S,H,F,"0,010","0,311","0,016",A,0,105,"8,2","10,1","11,6","14,3","1,69",C,B,-,5,2017
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,6,2017
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,6,2017
,,,,,,"Sim
(S)
Não
(N)",,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa
na
Categoria","Comparação
Absoluta
Geral",,6,2017
Médio,NISSAN,NEW VERSA,10 Conforto / 10 S,1.0 - 12V,M-5,S,E,F,"0,012","0,488","0,004",A,0,95,"8,8","10,5","12,9","15,3","1,55",B,B,-,6,2017
Médio,NISSAN,NEW VERSA,16 S / 16 SV / 16 SL,1.6 - 16V,M-5,S,E,F,"0,021","0,551","0,013",B,0,99,"8,4","10,0","12,6","14,4","1,63",B,B,-,6,2017
Médio,NISSAN,NEW VERSA,16 SV / 16 SL / 16 UNIQUE,1.6 - 16V,CVT,S,E,F,"0,022","0,367","0,025",B,0,106,"7,8","10,0","11,6","14,1","1,72",C,B,-,6,2017
