categoria,marca,modelo,motor,versao,transmissao,ar_condicionado,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
MÉDIO,RENAULT,Logan,1.6­16V,Dynamique,M­5,S,E­H,F,"8,7","9,7","13,0","14,1",2020
MÉDIO,RENAULT,Logan,1.6­16V,Expression,M­5,S,E­H,F,"8,7","9,7","13,0","14,1",2020
MÉDIO,RENAULT,Zoe NR,Elétrico,Intens,A,S,E,E,\,\,"35,3","27,5",2020
MÉDIO,RENAULT,Zoe NR,Elétrico,Life,A,S,E,E,\,\,"35,3","27,5",2020
MÉDIO,RENAULT,Zoe LR,Elétrico,Intens LR,A,S,E,E,\,\,"34,9","27,8",2020
MÉDIO,RENAULT,Zoe LR,Elétrico,Life LR,A,S,E,E,\,\,"34,9","27,8",2020
MÉDIO,RENAULT,Zoe LR,Elétrico,ULT LR,A,S,E,E,\,\,"34,9","27,8",2020
MÉDIO,RENAULT,Logan,1.0­12V,Life,M­5,S,E­H,F,"9,0","10,0","13,2","14,1",2020
MÉDIO,RENAULT,Logan,1.0­12V,Zen,M­5,S,E­H,F,"9,0","10,0","13,2","14,1",2020
MÉDIO,RENAULT,Logan,1.6­16V,Zen,M­5,S,E­H,F,"8,3","9,0","11,9","13,1",2020
MÉDIO,RENAULT,Logan ­ P2,1.0­12V,Life,M­5,S,E­H,F,"9,3","10,0","13,6","14,2",2020
MÉDIO,RENAULT,Logan ­ P2,1.0­12V,Zen,M­5,S,E­H,F,"9,3","10,0","13,6","14,2",2020
MÉDIO,CHEVROLET,Cobalt,1.8­8V,LTZ,A­6,S,E,F,"7,5","9,6","10,9","13,6",2020
MÉDIO,CHEVROLET,Cobalt,1.4­8V,LTZ,M­6,S,E,F,"8,5","10,4","12,5","15,1",2020
MÉDIO,CHEVROLET,Cobalt,1.4­8V,LT,M­6,S,E,F,"8,5","10,4","12,5","15,1",2020
MÉDIO,CHEVROLET,Cobalt,1.8­8V,LTZ,M­6,S,E,F,"8,3","10,4","12,1","15,1",2020
MÉDIO,CHEVROLET,Onix,1.0­12V Turbo,PR2,A­6,S,E,F,"8,3","10,7","11,9","15,1",2020
MÉDIO,CHEVROLET,Onix,1.0­12V Turbo,PR1,A­6,S,E,F,"8,3","10,7","11,9","15,1",2020
