"Ano:2015 Modelo: Todos Data: 24/11/2015
Categoria: Todas Motor: Todos Última Atualização: 24/11/2015
Marca: Todas
INSTITUTO NACIONAL DE METROLOGIA,
QUALIDADE E TECNOLOGIA
PROGRAMA BRASILEIRO DE ETIQUETAGEM ­ PBE
Tabelas de Consumo/Eficiência
Etiqueta Nacional de Conservação de Energia ­ ENCE
,HONDA,Fit,1.5­16V,LX,CVT,S,E,F,"0,022","0,120","0,016",***,0,102,"8,3","9,9","12,3","14,1","1,66",A,A,SIM,4,2015,COMPACTO
,HONDA,Fit,1.5­16V,EX,CVT,S,E,F,"0,022","0,120","0,016",***,0,102,"8,3","9,9","12,3","14,1","1,66",A,A,SIM,4,2015,COMPACTO
,HONDA,Fit,1.5­16V,EXL,CVT,S,E,F,"0,022","0,120","0,016",***,0,102,"8,3","9,9","12,3","14,1","1,66",A,A,SIM,4,2015,COMPACTO
,HYUNDAI,HB20,1.0­12V,Comfort,M­5,S,H,F,"0,015","0,274","0,006",***,0,104,"8,3","9,8","11,8","14,0","1,69",A,B,SIM,4,2015,COMPACTO
,HYUNDAI,HB20,1.0­12V,Plus,M­5,S,H,F,"0,015","0,274","0,006",***,0,104,"8,3","9,8","11,8","14,0","1,69",A,B,SIM,4,2015,COMPACTO
,HYUNDAI,HB20,1.0­12V,Style,M­5,S,H,F,"0,015","0,274","0,006",***,0,104,"8,3","9,8","11,8","14,0","1,69",A,B,SIM,4,2015,COMPACTO
,HYUNDAI,HB20,1.6­16V,Comfort,M­5,S,H,F,"0,021","0,325","0,011",***,0,110,"7,7","9,3","11,5","13,0","1,79",B,B,­,4,2015,COMPACTO
,HYUNDAI,HB20,1.6­16V,Plus,M­5,S,H,F,"0,021","0,325","0,011",***,0,110,"7,7","9,3","11,5","13,0","1,79",B,B,­,4,2015,COMPACTO
,HYUNDAI,HB20,1.6­16V,Style,M­5,S,H,F,"0,021","0,325","0,011",***,0,110,"7,7","9,3","11,5","13,0","1,79",B,B,­,4,2015,COMPACTO
,HYUNDAI,HB20,1.6­16V,Premium,M­5,S,H,F,"0,021","0,325","0,011",***,0,110,"7,7","9,3","11,5","13,0","1,79",B,B,­,4,2015,COMPACTO
,HYUNDAI,HB20X,1.6­16V,Style,M­5,S,H,F,"0,026","0,297","0,012",***,0,111,"8,0","9,3","11,4","12,9","1,78",B,B,­,4,2015,COMPACTO
,,,,,,,,,,,,,,,,,,,,,,,4,2015,Página 4 / 32
,,,,,,,,,,,,,,,,,,,,,,,4,2015,
,,,,,,,,,,,,,,,,,,,,,,,5,2015,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",5,2015,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,Gasolina,,,,,,5,2015,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,Gasolina,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,5,2015,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)",,,,,,,,,5,2015,
,,,,,(CVT),,,,,,,,,,,,,,,,,,5,2015,
,HYUNDAI,HB20X,1.6­16V,Premium,M­5,S,H,F,"0,026","0,297","0,012",***,0,111,"8,0","9,3","11,4","12,9","1,78",B,B,­,5,2015,COMPACTO
,HYUNDAI,HB20X,1.6­16V,Style,A­4,S,H,F,"0,018","0,368","0,004",***,0,126,"7,0","8,3","9,9","11,7","2,03",D,C,­,5,2015,COMPACTO
,HYUNDAI,HB20X,1.6­16V,Premium,A­4,S,H,F,"0,018","0,368","0,004",***,0,126,"7,0","8,3","9,9","11,7","2,03",D,C,­,5,2015,COMPACTO
,HYUNDAI,HB20 (2016),1.0­12V,Comfort,M­5,S,H,F,"0,014","0,309","0,011",***,0,101,"8,5","9,9","12,5","14,1","1,64",A,A,SIM,5,2015,COMPACTO
,HYUNDAI,HB20 (2016),1.0­12V,Plus,M­5,S,H,F,"0,014","0,309","0,011",***,0,101,"8,5","9,9","12,5","14,1","1,64",A,A,SIM,5,2015,COMPACTO
,HYUNDAI,HB20 (2016),1.0­12V,Style,M­5,S,H,F,"0,014","0,309","0,011",***,0,101,"8,5","9,9","12,5","14,1","1,64",A,A,SIM,5,2015,COMPACTO
,HYUNDAI,HB20 (2016),1.6­16V,Comfort,M­6,S,H,F,"0,017","0,500","0,019",***,0,107,"8,1","9,9","11,6","13,8","1,72",A,B,SIM,5,2015,COMPACTO
,HYUNDAI,HB20 (2016),1.6­16V,Plus,M­6,S,H,F,"0,017","0,500","0,019",***,0,107,"8,1","9,9","11,6","13,8","1,72",A,B,SIM,5,2015,COMPACTO
,HYUNDAI,HB20 (2016),1.6­16V,Style,M­6,S,H,F,"0,017","0,500","0,019",***,0,107,"8,1","9,9","11,6","13,8","1,72",A,B,SIM,5,2015,COMPACTO
,HYUNDAI,HB20 (2016),1.6­16V,Premium,M­6,S,H,F,"0,017","0,500","0,019",***,0,107,"8,1","9,9","11,6","13,8","1,72",A,B,SIM,5,2015,COMPACTO
,JAC,J3,1.4­16V,*****,M­5,S,H,G,"0,030","0,373","0,039",***,\,113,\,\,"11,2","12,7","1,84",B,B,­,5,2015,COMPACTO
,JAC,J3,1.4­16V,"1,4",M­5,S,H,G,"0,030","0,373","0,039",***,\,113,\,\,"11,2","12,7","1,84",B,B,­,5,2015,COMPACTO
,JAC,J3,1.4­16V,Turin,M­5,S,H,G,"0,030","0,373","0,039",***,\,112,\,\,"11,3","12,8","1,82",B,B,­,5,2015,COMPACTO
