Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão
Combustão
Híbrido
Plug-in
Médio,Volkswagen,VIRTUS,"EXCLUSIVE 250TSI
AUTOMÁTICO",1.4 -16V,Combustão,,S,E,F,17,96,1,A,0,105,\,8.1,9.9,11.7,14.0,\,\,1.70,\,C,C,-,2,2025,A - 6,,
Médio,Volkswagen,POLO,TSI MECÂNICO,1.0-12V,Combustão,,S,E,F,21,215,2,A,0,88,\,9.6,11.4,13.9,16.3,\,\,1.43,\,B,B,-,2,2025,M - 5,,
Médio,Volkswagen,POLO,SENSE TSI AUTOMÁTICO,1.0-12V,Combustão,,S,E,F,17,117,2,A,0,93,\,9.0,11.1,13.1,16.1,\,\,1.50,\,B,B,-,2,2025,A - 6,,
Médio,Volkswagen,POLO,MPI,1.0-12V,Combustão,,S,E,F,32,126,2,B,0,92,\,9.3,10.8,13.5,15.7,\,\,1.49,\,B,B,-,2,2025,M - 5,,
Médio,Volkswagen,POLO,TRACK 1.0 MPI,1.0-12V,Combustão,,S,E,F,32,126,2,B,0,92,\,9.3,10.8,13.5,15.7,\,\,1.49,\,B,B,-,2,2025,M - 5,,
Médio,Volkswagen,POLO,TRACK ROBUST 1.0 MPI,1.0-12V,Combustão,,S,E,F,32,126,2,B,0,92,\,9.3,10.8,13.5,15.7,\,\,1.49,\,B,B,-,2,2025,M - 5,,
Médio,Volkswagen,POLO,MPI,1.0-12V,Combustão,,S,E,F,32,119,2,B,0,92,\,9.3,10.9,13.5,15.7,\,\,1.48,\,B,B,-,2,2025,M - 5,,
Médio,Volkswagen,POLO,TRACK 1.0 MPI,1.0-12V,Combustão,,S,E,F,32,119,2,B,0,92,\,9.3,10.9,13.5,15.7,\,\,1.48,\,B,B,-,2,2025,M - 5,,
Médio,Volkswagen,POLO,TRACK ROBUST 1.0 MPI,1.0-12V,Combustão,,S,E,F,32,119,2,B,0,92,\,9.3,10.9,13.5,15.7,\,\,1.48,\,B,B,-,2,2025,M - 5,,
,,,,,,,"Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Elétrico
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes,,,,Gás Efeito Estufa,,,,,,,,,,,,,,3,2025,"Manual (M)
Automática (A)
Automática Dupla
Embreagem (DCT)
Automatizada (MTA)
Contínua (CVT)",,
,,,,,,,,,,"NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",VEHP,Etanol,,"Gasolina
ou
Diesel",,"Elétrico (km/le)
quando VE ou VEHP",,,,,,,3,2025,,,
,,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","CO2e
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l e)","Estrada
(km/l e)",,,"Comparação
Relativa
na Categoria","Comparação
Absoluta
Geral",,3,2025,,,
Grande,AION,Y,PLUS A21-G,Elétrico,Elétrico,,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,36.5,35.0,0.57,318,A,A,-,3,2025,A-1,,
Grande,AION,Y,BEV,Elétrico,Elétrico,,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,36.5,35.0,0.57,318,A,A,-,3,2025,A-1,,
Grande,AION,Y,BEV PREMIUM,Elétrico,Elétrico,,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,36.5,35.0,0.57,318,A,A,-,3,2025,A-1,,
Grande,AUDI,A3 Sedan,Advanced (ed.0),2.0 - 16V,Combustão,,S,E,G,11,134,0,A,\,124,\,\,\,9.7,13.0,\,\,2.00,\,D,C,-,3,2025,DCT-7,,
Grande,AUDI,A3 Sedan,Performance (ed.0),2.0 - 16V,Combustão,,S,E,G,11,134,0,A,\,124,\,\,\,9.7,13.0,\,\,2.00,\,D,C,-,3,2025,DCT-7,,
Grande,AUDI,A3 Sedan,Performance Black (ed.0),2.0 - 16V,Combustão,,S,E,G,11,134,0,A,\,124,\,\,\,9.7,13.0,\,\,2.00,\,D,C,-,3,2025,DCT-7,,
