categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Fora de Estrada,LAND ROVER,EVOQUE,P250FF FEDTN,2.0-16V,A-9,S,E,F,"5,1","6,8","7,5","9,7",
Fora de Estrada,LAND ROVER,EVOQUE,P250FF S,2.0-16V,A-9,S,E,F,"5,1","6,8","7,5","9,7",
Fora de Estrada,LAND ROVER,EVOQUE,P250FF S RDY,2.0-16V,A-9,S,E,F,"5,1","6,8","7,5","9,7",
Fora de Estrada,LAND ROVER,EVOQUE,P250FF SE RD,2.0-16V,A-9,S,E,F,"5,1","6,8","7,5","9,7",
Fora de Estrada,LAND ROVER,EVOQUE,P250FF HSERD,2.0-16V,A-9,S,E,F,"5,4","7,1","8,2","10,4",
Fora de Estrada,LAND ROVER,EVOQUE,P250FF S (MY22),2.0-16V,A-9,S,E,F,"5,4","7,1","8,2","10,4",
Fora de Estrada,LAND ROVER,EVOQUE,P250FF SE,2.0-16V,A-9,S,E,F,"5,4","7,1","8,2","10,4",
Fora de Estrada,LAND ROVER,RANGE ROVER,SDV8 AB,4.4-32V,A-8,S,E,D,\,\,"8,2","10,4",
Fora de Estrada,LAND ROVER,RANGE ROVER,SDV8 AB LWB,4.4-32V,A-8,S,E,D,\,\,"8,2","10,4",
Fora de Estrada,LAND ROVER,RANGE ROVER,SDV8 VOGUE,4.4-32V,A-8,S,E,D,\,\,"8,2","10,4",
Fora de Estrada,LAND ROVER,RANGE ROVER,SDV8 VOGUESE,4.4-32V,A-8,S,E,D,\,\,"8,2","10,4",
Fora de Estrada,LAND ROVER,RANGE ROVER,TDV6 HSE,3.0-24V,A-8,S,E,D,\,\,"9,8","12,3",
Fora de Estrada,LAND ROVER,RANGE ROVER,TDV6 VOGUE,3.0-24V,A-8,S,E,D,\,\,"9,8","12,3",
Fora de Estrada,LAND ROVER,RANGE ROVER,V8SC SWB 525,5.0-32V,A-8,S,E,G,\,\,"5,3","7,1",
Fora de Estrada,LAND ROVER,RANGE ROVER,V8SC SWB 565,5.0-32V,A-8,S,E,G,\,\,"5,2","6,7",
Fora de Estrada,LAND ROVER,RANGE ROVER,V8SC LWB565,5.0-32V,A-8,S,E,G,\,\,"5,2","6,7",
Fora de Estrada,LAND ROVER,RANGE ROVER,VGSE PHEV,2.0-16V,A-8,S,E,G,\,\,"16,3",16,
Fora de Estrada,LAND ROVER,RANGE ROVER,AB PHEV,2.0-16V,A-8,S,E,G,\,\,"16,3",16,
Fora de Estrada,LAND ROVER,RANGE ROVER SPORT,P575 SVR,5.0-32V,A-8,S,E,G,\,\,"5,4","6,8",
Fora de Estrada,LAND ROVER,RANGE ROVER SPORT,P525 HSE DYN,5.0-32V,A-8,S,E,G,\,\,"5,2","6,6",
Fora de Estrada,LAND ROVER,RANGE ROVER SPORT,PHEV404 HSE,2.0-16V,A-8,S,E,G,\,\,"16,3",16,
Fora de Estrada,LAND ROVER,RANGE ROVER SPORT,PHEV404 HSED,2.0-16V,A-8,S,E,G,\,\,"16,3",16,
